full_nameyears,sentence,label,sentiment_label,sentiment_score
2006 Arroyo,thank you.,,,
2006 Arroyo,"bicols whale sharks, beaches and, course, mount mayon, started acquiring right way international airport daraga, albay.",,,
2006 Arroyo,"provide means perfect surfs pacific upgrading airports siargao, guiuan, tacloban.",,,
2006 Arroyo,"widen road dakak dapitan, roro connect siquijor santander, cebu camiguin jagna, bohol ubay, bohol, maasin, southern leyte, diving limasawa.",,,
2006 Arroyo,"bring masbate biliran roro eastern nautical highway surigao leyte naval maripipi biliran esperanza, aroroy, burias island masbate bicol.",,,
2006 Arroyo,muchawaited generator set arrived masbate last saturday.,,,
2006 Arroyo,ready power province end month.,,,
2006 Arroyo,"camiguin, romblon, camarines norte got list poorest provinces .",,,
2006 Arroyo,tourism provinces become rich.,,,
2006 Arroyo,"also winning war poverty calamity, undaunted unimaginable catastrophe, valiant people southern leyte, leadership rosette lerias oging mercado rudy guliani rebuilding lives saint bernard san francisco tragic mudslides.",,,
2006 Arroyo,"yesterday, asked japanese government help southern leyte implement integrated management approach deal critical ecosystem, like one world bank approved bicol river basin.",,,
2006 Arroyo,mindanao priority agribusiness investments south.,,,
2006 Arroyo,"mindanao mostly fertile largely typhoonfree, exporting coconut products highvalue crops, waters come countrys fish catch.",,,
2006 Arroyo,investment priorities mirror north luzon mindanao poorest regions poorest provinces spend logistics system linking north.,,,
2006 Arroyo,"introduced roro zamboanga del norte negros, panay, mindoro batangas.",,,
2006 Arroyo,"system slashed travel time mindanao luzon hours hours, freight cost , crucial food shipments.",,,
2006 Arroyo,"develop routes like one cagayan de oro camiguin, bohol, cebu, masbate bicol, central nautical highway.",,,
2006 Arroyo,"also , sulu, lanao del sur, tawitawi registered doubledigit declines poverty incidence year .",,,
2006 Arroyo,congratulations.,,,
2006 Arroyo,"kitangkita ang pagibayo ng mga isla ng sulu, basilan, tawitawi.",,,
2006 Arroyo,nagbukas ang jollibee sa basilan.,,,
2006 Arroyo,"balikatan exercises united states, combined u.s. gem program donorassisted projects, doubt contributed this.",,,
2006 Arroyo,"sa sulu, isang araw ng mayo, umuulan, nagwakas ang isang mahabang pagtutunggali nang pumasok ang mga kawal sibilyan sa kampong bitanag sa panamao na hawak ng mga rebelde.",,,
2006 Arroyo,nagyakapan nagkamayan ang dalawang panig.,,,
2006 Arroyo,"dahil sa matinding pagnanais para sa kapayapaan ni marine general ben dolorfino, naganap ang pagkakasundo.",,,
2006 Arroyo,gayon natapos ang isang madugong kabanata.,,,
2006 Arroyo,"congratulations, general ben dolorfino.",,,
2006 Arroyo,susi sa anumang pagibayo ang malakas na suporta maabilidad na liderato ng pamahalaang local.,,,
2006 Arroyo,"halimbawa, iyong from arms farms ni governor ben loong ng sulu, caravan tractors literally invading former rebel camps province.",,,
2006 Arroyo,congratulations.,,,
2006 Arroyo,"mahigit isang linggong nakaraan, dumating sa eleven islands ang daandaang rebeldeng kanilang pamilya, sa pamumuno ng dating mnlf commander na si aribari samson.",,,
2006 Arroyo,dito sa mga pulo na kilalang no mans island dati nagtatago ang mga rebelde criminal.,,,
2006 Arroyo,"ngayon sa tulong ng isang programa ng united nations, nagtayo tayo ng tahanan panibagong buhay para sa pangkat ni samson.",,,
2006 Arroyo,thank giving peace chance.,,,
2006 Arroyo,"congratulations, commander samson.",,,
2006 Arroyo,"take occasion express gratitude donor community u.s., organization islamic conference , european union, australia, japan, asean neighbors, multilaterals, rest world.",,,
2006 Arroyo,thank helping us peace process.,,,
2006 Arroyo,"harness forces good nation, positive force work home abroad u.s., malaysia, oic, others, shall prevail mindanao peace agreement brings freedom hope filipinos.",,,
2006 Arroyo,"peace, would reap dividends resources invested agribusiness, aggression, build up, tear down, philippine south.",,,
2006 Arroyo,"among possible peace dividends would propoor road projects like sioconsirawaisibucobaligyan road zamboanga del norte lebak maguindanao sim datumanong started secretary public works dinagat island road network surigao del norte hawiliansalugsinakungan barangay road agusan del sur pangil bay bridge surigaodavao road, want beautiful bukidnon highway completed administration joe zubiri term migs zubiri.",,,
2006 Arroyo,"mindanaos number one export, coconuts, growing continuously last three years, rate year.",,,
2006 Arroyo,coconut farmers deserve portion peace dividend.,,,
2006 Arroyo,invite congress bishopsulamapriestspastorsfarmerlumad conference led archbishop fernando capalla help ensure rightful share.,,,
2006 Arroyo,"top peace investment, progress also demands good governance.",,,
2006 Arroyo,congratulate donkoy emano drop reports corruption public contracts cagayan de oro firms last year year.,,,
2006 Arroyo,"also rudy duterte leaders metro davao led majority leader boy nograles similar drop, last year now.",,,
2006 Arroyo,"things coming together mindanao, prelude readiness eventual federalism.",,,
2006 Arroyo,"cyber corridor boost telecommunications, technology education.",,,
2006 Arroyo,"corridor runs length super regions, baguio cebu davao.",,,
2006 Arroyo,"cities davao, tagum samal island garden operate electronic government accounting systems.",,,
2006 Arroyo,many wings corridor enterprising local executives like lray villafuerte jerry trenas aggressively attracted call centers jurisdictions.,,,
2006 Arroyo,"congratulations, jerry.",,,
2006 Arroyo,"corridor, english information communication technology skills youth give competitive edge call centers business process outsourcing .",,,
2006 Arroyo,", hall, hailed ict key growth sector.",,,
